singleSetId,weight,reps,distance,duration,elevationGain,setNumber,exerciseSetParseId,exerciseName,workoutId,workoutDate,fake_user_id
JlCC6mXcwM,29.483539113316585,11.0,0.0,0.0,0.0,3,rI8fErcPUH,Smith Machine Overhead Shoulder Press,z3F0TkX8zB,2019-04-28,fake_id_289
X5MankhpTJ,50.0,8.0,0.0,0.0,0.0,2,1I3kw8Ya6l,Single Arm Lat Pulldown,7ISUi6TNMD,2019-04-23,fake_id_293
kRXHF46hO1,0.0,12.0,0.0,0.0,0.0,2,cLz7IPR0eU,Walking Lunge,NBrvV9lonb,2018-04-11,fake_id_291
0pN8UnO5Ht,45.0,8.0,0.0,0.0,0.0,1,69r9GoKtjp,Hack Squat,H591zuLOlQ,2017-11-17,fake_id_285
Vve2csH5SA,0.0,35.0,0.0,0.0,0.0,2,A1J8PmCQpO,Side Bridge,7ChY57W5wI,2018-04-27,fake_id_285
PSO8RGt1Po,0.0,0.0,0.0,35.0,0.0,3,xC9o2RlTGc,Side Bridge,YlN9cHhZca,2019-05-13,fake_id_287
TvNXLLp4M6,9.0,10.0,0.0,0.0,0.0,1,kOZFL38zrh,Dumbbell Incline Fly,iOMhexdU2k,2019-02-21,fake_id_291
5qWu8DBklC,50.0,12.0,0.0,0.0,0.0,1,6FdwKSbWAM,Standing Machine Calf Raise,AzRwEYNTAt,2018-02-11,fake_id_285
1KoAStEISK,30.0,12.0,0.0,0.0,0.0,2,ZAXG6uVonc,Barbell Shrug,AzRwEYNTAt,2018-02-11,fake_id_285
bwjM5JAS0D,35.0,10.0,0.0,0.0,0.0,1,UBVcqqoWQz,Sumo Deadlift,A57rEr83Lu,2018-04-23,fake_id_291
rifvAwegnH,13.607787283069193,8.0,0.0,0.0,0.0,2,lDuOewdFCN,Dumbbell Incline Fly,CmA444YDlE,2019-05-06,fake_id_283
s0Jm47sLOV,0.0,10.0,0.0,0.0,0.0,2,nBQFHe2urJ,Chin Up,bMHI3yLz7B,2019-05-30,fake_id_287
juD1rBeG2Q,31.75150366049478,6.0,0.0,0.0,0.0,3,GTcEx8DuNO,Assisted Pull Up,onkv5o2K7y,2019-09-04,fake_id_284
cuSQmaIqrw,0.0,10.0,0.0,0.0,0.0,2,LT5nXxsUxD,Hanging Leg Raise,ZX5j2IWCAG,2018-01-16,fake_id_285
tInfvgDu8E,35.0,10.0,0.0,0.0,0.0,3,bpXQG2Sg51,Assisted Chin Up,szuHkRXDEp,2018-01-29,fake_id_291
foQpvJ7R3x,5.0,12.0,0.0,0.0,0.0,1,akR6UmCA22,Side Laterals to Front Raise,sEJMRibSGr,2019-04-15,fake_id_291
ajdn0NMsA7,31.75150366049478,15.0,0.0,0.0,0.0,2,NH7k2mEATh,Machine Rear Delt Fly,vz6uw7FgwE,2018-12-14,fake_id_289
eVNuS2o1Ef,20.0,10.0,0.0,0.0,0.0,1,TIlqfxSbPq,Shoulder Press,92Vv8C2MdI,2018-12-06,fake_id_300
oqwjKdMiPE,6.0,10.0,0.0,0.0,0.0,4,RCvrFYdbNV,Dumbbell Upright Row,LGSxkCpvYT,2017-12-31,fake_id_291
a6AU0KolHR,0.0,15.0,0.0,0.0,0.0,2,OfFU7K10Ja,Floor Bridge,LGSxkCpvYT,2017-12-31,fake_id_291
8hsEGJbySD,10.0,10.0,0.0,0.0,0.0,1,PdivEMyGjC,Palms-Up Barbell Wrist Curl,XqZxGyvT7m,2017-12-14,fake_id_291
wEOQLNRxES,20.41168092460379,10.0,0.0,0.0,0.0,1,gjPFuZFKTG,Hammerstrength Chest Press,JhtDvMHjbw,2019-01-17,fake_id_283
WClmWmZXH6,18.14371637742559,15.0,0.0,0.0,0.0,1,oopNeaPH8e,Pallof Press,GdbNuaT26T,2019-04-03,fake_id_295
J3EBPAQHBp,6.8038936415345965,10.0,0.0,0.0,0.0,2,vnqIXcT3Jc,Dumbbell Pullover,9GTMWNmSib,2019-02-20,fake_id_286
eF9pc3LKzT,9.071858188712797,7.0,0.0,0.0,0.0,1,ZEka26ibIw,Barbell Step Up,yk5y53Gsuh,2019-05-20,fake_id_286
VFQezGj6kd,0.0,10.0,0.0,0.0,0.0,2,547ALj2rIl,Step Up,yk5y53Gsuh,2019-05-20,fake_id_286
Lb46qn2CX9,9.071858188712797,10.0,0.0,0.0,0.0,3,eUW1hdZHBH,Dumbbell Romanian Deadlift,v5dBRLSN29,2019-04-29,fake_id_286
kEMxelIp6Y,20.0,7.0,0.0,0.0,0.0,1,S0TehZOrr2,Arnold Dumbbell Press,NwU7Z6VDjL,2019-05-20,fake_id_293
jOGkQMHzlb,22.67964547178199,10.0,0.0,0.0,0.0,3,6WCA84aIy8,Tricep Press,2bt4QdDM3X,2019-02-28,fake_id_283
IGUS7GAnxg,0.0,0.0,0.0,35.0,0.0,2,c5q3BKqj3R,Battle Ropes,BBXYQK1t1N,2019-06-07,fake_id_296
0A0hk39NAj,0.0,20.0,0.0,0.0,0.0,1,5stvAp3iCi,Bosu Ball Crunch,aN0pJbLiEu,2019-08-05,fake_id_283
1FHmBMWvFO,35.0,12.0,0.0,0.0,0.0,2,3HwsWolPbS,Machine Leg Press,0dMAe1Ibku,2019-05-25,fake_id_291
i61UbY8KcQ,3.4019468207672983,15.0,0.0,0.0,0.0,3,RFCR7axj0l,Biceps Curl To Shoulder Press,8R6izIZVz0,2019-03-22,fake_id_292
xCKTNKEO1B,0.0,8.0,0.0,0.0,0.0,1,wIow8g5mro,Walkout to Push Up,Sv9ZEvFNg3,2019-08-13,fake_id_294
QNGKOdMRBY,11.339822735890994,7.0,0.0,0.0,0.0,1,HN2Wv2DjnS,Hammerstrength Chest Press,Sv9ZEvFNg3,2019-08-13,fake_id_294
RScLOTNyg6,6.8038936415345965,12.0,0.0,0.0,0.0,1,X3t8r3cYxR,Dumbbell Bent Over Row,2GdnPG1etH,2018-09-18,fake_id_288
xdFHCQqJzU,0.0,60.0,8046.72,1200.0,0.0,1,lBxaFFfnss,Cycling - Stationary,2GdnPG1etH,2018-09-18,fake_id_288
qdXBLgtF3X,18.0,15.0,0.0,0.0,0.0,3,sDPvxqyJvL,Dumbbell Pullover,qpgG50yjpt,2019-02-28,fake_id_293
vaFrISCXsR,0.0,12.0,0.0,0.0,0.0,1,DVTK6tSaOM,Bosu Ball Push Up,tvdw1FcQF0,2018-12-02,fake_id_292
t73yZ9fueN,0.0,0.0,0.0,720.0,0.0,1,AQSbQ2AtPc,Stair Stepper,woHKu2mGn2,2019-07-18,fake_id_284
M48nVHgJ6B,50.0,5.0,0.0,0.0,0.0,4,p7JqUPIVKD,Smith Machine Incline Bench Press,V99uVD79Gq,2017-11-08,fake_id_285
U07DJiGerm,4.535929094356399,10.0,0.0,0.0,0.0,3,auujDqapA3,Dumbbell Romanian Deadlift,7XFaZiQm8Z,2019-02-06,fake_id_286
oywCjcsAku,31.75150366049478,10.0,0.0,0.0,0.0,5,XNGT97xMcB,Good Morning,O4agf5LEDj,2018-02-16,fake_id_280
kEQ8YJdm4T,10.0,18.0,0.0,0.0,0.0,3,X87vLxGXBF,Dumbbell Upright Row,A9CNSZVkuu,2019-05-14,fake_id_287
Fh8NFC8PG9,37.5,3.0,0.0,0.0,0.0,3,NaQqfNxgVx,Shoulder Press,l5AIgVMi5S,2018-12-10,fake_id_300
hf8rhIfnXH,22.67964547178199,5.0,0.0,0.0,0.0,4,X5wMsly6ej,Single Leg Kettlebell Deadlift,Hk4XDXhUC5,2018-09-29,fake_id_291
hJYNVr0JBV,22.67964547178199,6.0,0.0,0.0,0.0,1,bcO6CNJiWa,Seated Cable Row,UXShdfYSJB,2019-09-07,fake_id_294
G3eCKZGFbY,6.8038936415345965,10.0,0.0,0.0,0.0,1,ZHOfZXOdga,Single Leg Romanian Deadlift,fUHf68fDMN,2019-02-13,fake_id_286
iFNMSQgHVU,9.25329535248705,15.0,0.0,0.0,0.0,1,qfyc0KwdJy,Single Arm Lat Pulldown,iDb9XbSd5H,2019-06-12,fake_id_286
OsEXzuE0EE,0.0,6.0,0.0,0.0,0.0,2,HBNfygkc8h,Decline Crunch,JLYlcXxj7B,2018-01-10,fake_id_285
21npyqiZaa,68.03893641534596,8.0,0.0,0.0,0.0,3,MLVuVX2RKA,Dumbbell Stiff Legged Deadlift,5g1JNGAdjX,2018-02-25,fake_id_280
VRoMFZCzMz,34.01946820767298,8.0,0.0,0.0,0.0,2,S4MyHNc4uw,Goblet Squat,5g1JNGAdjX,2018-02-25,fake_id_280
Z3a8KQrISb,10.0,0.0,0.0,40.0,0.0,1,OnB7G91ogA,Weighted Wall Sit,r2YXBqrKaP,2019-05-14,fake_id_291
GVJTdv1TwY,30.0,10.0,0.0,0.0,0.0,1,tDJNikePUw,Machine Tricep Extension,pxU5KO5YLK,2017-12-13,fake_id_285
F2OgsJ6Wx9,35.0,15.0,0.0,0.0,0.0,1,ZFXuqVAhT3,Assisted Dip,Ao0MGngtrs,2018-07-09,fake_id_291
82YP1NXoCz,36.28743275485118,5.0,0.0,0.0,0.0,3,5cHUTeIxiW,Assisted Pull Up,5FvnNd3gMP,2019-05-22,fake_id_286
RTSCLT4ysp,4.535929094356399,10.0,0.0,0.0,0.0,5,EosML5i8Ga,Single Arm Overhead Press,QCaJViT9Km,2019-01-21,fake_id_286
atJ7ohMWFX,0.0,21.0,0.0,0.0,0.0,2,4xXObPkz9B,Decline Reverse Crunch,ilgYvmHtgi,2018-04-12,fake_id_285
rKpCzPNxOn,10.0,10.0,0.0,0.0,0.0,4,eVGX0fhX3N,Concentration Curl,oDm3HhIubY,2018-04-02,fake_id_291
DxjCKHaHfz,130.0,25.0,0.0,0.0,0.0,2,K2EZcF2mBj,Side Bridge,NjdgdtKjiy,2017-10-19,fake_id_281
ejksziCHhG,4.535929094356399,8.0,0.0,0.0,0.0,2,Ys9sxiZzEf,Single Leg Kickback,pD7UUUHYWW,2019-03-25,fake_id_286
MNhcEjXKDD,13.607787283069193,15.0,0.0,0.0,0.0,2,u1zrQdHC1X,Concentration Curl,yYBpexV0jp,2019-03-21,fake_id_283
5D0XPLknW6,0.0,15.0,0.0,0.0,0.0,1,EoT1wjbSte,Decline Push Up,tnre4NDJ6P,2017-10-25,fake_id_280
mOAq0Mrz2o,11.339822735890994,12.0,0.0,0.0,0.0,1,DzHc7gRJhR,Bosu Ball Squat,S1CDxGznfU,2019-03-23,fake_id_296
MR7hkBlp2k,0.0,16.0,0.0,0.0,0.0,1,sXSFBChgKX,Knee Raise,srVWKuUJVB,2019-02-14,fake_id_284
NAVsa8Dx6k,9.071858188712797,7.0,0.0,0.0,0.0,3,0UbGMDnWko,Barbell Step Up,kEphYQPdOL,2019-03-28,fake_id_286
6E6UHi99cC,13.607787283069193,8.0,0.0,0.0,0.0,2,R3IrjhwvvP,Dumbbell Floor Press,9bP5ognv0P,2019-08-29,fake_id_284
Nq5ItF9mB4,16.692219067231537,15.0,0.0,0.0,0.0,3,DSmsBA3dYD,Seated Cable Row,ZfJgsaEOo7,2019-04-02,fake_id_286
6C2zqndHgm,0.0,5.0,0.0,0.0,0.0,5,X6rQpfLM5B,Hanging Knee Raise,2VvFuPvkam,2019-06-01,fake_id_296
rG7TfCVkpf,0.0,8.0,0.0,0.0,0.0,2,jHetsu7W4o,Butt Kick,2VvFuPvkam,2019-06-01,fake_id_296
zYTHKFs28l,35.0,8.0,0.0,0.0,0.0,4,M0XSODZofV,Assisted Dip,rMYVoRSYh9,2017-12-28,fake_id_291
6b59jD2LAl,20.41168092460379,10.0,0.0,0.0,0.0,1,sccGkO0psG,Dumbbell Incline Fly,2fL4k8JxOD,2019-01-15,fake_id_289
qPSDr8TxwN,19.277698651014692,12.0,0.0,0.0,0.0,2,2kjgZgkCnx,Hammerstrength High Row,c3g3sH2sH7,2019-08-01,fake_id_299
eV6biCqVX8,0.0,17.0,0.0,0.0,0.0,1,c6lno1p0q1,TRX Squat,JgMx06bIHq,2019-07-01,fake_id_291
nsKYrj1r6x,18.0,12.0,0.0,0.0,0.0,2,UwkidqemOQ,Dumbbell Squat To Shoulder Press,IVhcFgANmP,2019-05-01,fake_id_293
DXD1Z1lICQ,0.0,0.0,2236.9881600000003,742.0,0.0,1,8iB6y7EuYO,Elliptical,V8SQEaqpyA,2019-04-24,fake_id_283
w0OgZHBl3V,0.0,4.0,0.0,0.0,0.0,1,2myp639BkR,Chin Up,Tei8KM5nbh,2019-08-16,fake_id_285
2L2bPumrcc,35.0,12.0,0.0,0.0,0.0,1,uHQgS4HbJ5,Reverse Barbell Curl,GLRq7EFGHz,2018-02-13,fake_id_285
NTc5oovsoT,20.41168092460379,10.0,0.0,0.0,0.0,1,1QJ9u9gylX,EZ-Bar Skullcrusher,GAOh5SiSno,2019-05-16,fake_id_283
6rG4tRJXRq,30.0,10.0,0.0,0.0,0.0,1,cmcpRD2xaz,Smith Machine Bent Over Row,V5LADbFDVo,2019-02-13,fake_id_291
q54XIdk9WW,0.0,0.0,0.0,625.489284992218,0.0,1,ui3W3lPFcS,Elliptical,CoVBz86XKc,2019-03-19,fake_id_283
xUOAOIm2A2,0.0,0.0,1453.0418180434501,1149.9323081970215,0.0,1,mNUqdyV3mH,Hiking,WRlPB8ARhC,2019-03-29,fake_id_287
GH81d3LcnW,10.0,10.0,,,,4,elY0N43jEE,Dumbbell Skullcrusher,h2LMTuqaS7,2017-10-07,fake_id_281
HHuHdJaLpP,10.0,10.0,,,,1,EmzforvnPA,Dumbbell Skullcrusher,P0sjajxZHx,2017-09-22,fake_id_281
Ii2jfRemCq,6.8038936415345965,10.0,0.0,0.0,0.0,3,Z0gMIhZNeq,Dumbbell Skullcrusher,UdwsE5BFhS,2019-06-11,fake_id_286
fWAmvbj1Al,10.205840462301897,12.0,0.0,0.0,0.0,1,xNkPjNE050,Dumbbell Skullcrusher,gC3pLzLZp0,2019-08-15,fake_id_294
yZGEGUtAWv,7.937875915123695,12.0,0.0,0.0,0.0,2,PDwiRV92B7,Dumbbell Skullcrusher,qUTnpxCbWp,2019-03-06,fake_id_295
p9iSoG6eV9,10.0,10.0,0.0,0.0,0.0,2,zX206E2kcl,Dumbbell Skullcrusher,2lu6mb1Gez,2017-10-17,fake_id_281
Tst7kgvjIp,13.607787283069193,5.0,0.0,0.0,0.0,3,d9xWFMzX8x,Dumbbell Skullcrusher,kpTWlUh31g,2018-08-16,fake_id_283
ZA6tUf8YP6,7.937875915123695,12.0,0.0,0.0,0.0,3,diEVJtluYf,Dumbbell Skullcrusher,bX9LaOGIDC,2019-09-06,fake_id_299
GIFmbt89Bx,65.0,20.0,,,,1,ZCG5bsN8T9,Upright Row,NMxzdaZVdq,2017-05-30,fake_id_280
BxRlLqzqNC,15.87575183024739,15.0,0.0,0.0,0.0,2,BKWltQnnub,Upright Row,aCsTFDRmS4,2019-05-20,fake_id_285
cL9gRY2lxM,0.0,8.0,0.0,0.0,0.0,4,7LwrqkFN2I,Upright Row,U5gM95g4uK,2017-12-06,fake_id_291
pU8jloqujO,20.41168092460379,12.0,0.0,0.0,0.0,1,xPBFj08K8a,Upright Row,raGaXSck8e,2018-12-08,fake_id_289
a3Ws94dmIz,15.87575183024739,15.0,0.0,0.0,0.0,3,vlWvrPF7Y1,Upright Row,cqsR8U7JSi,2019-05-02,fake_id_285
n0JEjD6Jfl,25.0,10.0,0.0,0.0,0.0,1,1R6K6oeGXW,Seated Leg Curl,GjJy0GbsfP,2018-04-29,fake_id_291
WutpDlyibG,54.43114913227677,10.0,0.0,0.0,0.0,6,PBnjtVcPYI,Seated Leg Curl,hnToGI7wYG,2018-07-27,fake_id_283
YOsRbr7rVf,36.28743275485118,10.0,0.0,0.0,0.0,3,mBmqF4SkZN,Seated Leg Curl,ZDEnDazesu,2019-05-02,fake_id_286
gc7CJrOZxu,43.091326396385774,12.0,0.0,0.0,0.0,3,UvHSCd1N3g,Seated Leg Curl,NT6pUIAT1W,2019-05-16,fake_id_289
n8WsCT9kyp,25.0,10.0,0.0,0.0,0.0,3,reflRbNVd4,Seated Leg Curl,husdZjy0UL,2018-10-20,fake_id_291
tdA9QrJ5gs,36.28743275485118,10.0,0.0,0.0,0.0,1,hH2bb3rsab,Seated Leg Curl,vcnJaFWaKD,2019-04-06,fake_id_290
V0u7k1NjKq,22.67964547178199,10.0,0.0,0.0,0.0,2,zIHwizfBH4,Seated Leg Curl,SY5ldicOlP,2018-09-05,fake_id_291
0W5MUFaxzF,31.75150366049478,10.0,0.0,0.0,0.0,3,jSBNlWIbke,Seated Leg Curl,TlCaUgDghx,2019-02-28,fake_id_286
dfhjPS7zgq,40.0,10.0,0.0,0.0,0.0,3,sYm1v1aYrF,Seated Leg Curl,cslQHX5mcp,2019-01-14,fake_id_291
SwheuHEAQ5,127.0,7.0,,,,4,p4LvjipPJN,Bench Dip,l0hhYDWDTF,2017-07-16,fake_id_281
RDMjtNrQkJ,127.0,6.0,,,,5,YxmijC26Ka,Bench Dip,38yJLNJeWw,2017-07-22,fake_id_281
30nBlXKMEt,130.0,6.0,,,,1,dPLlw3ZY2L,Bench Dip,9mYuCv9NIg,2017-08-03,fake_id_281
XYv0QOTCwF,130.0,6.0,,,,6,p1tfQ6LzK7,Bench Dip,WYIrwicBf6,2017-07-28,fake_id_281
TxVdEJuiSZ,130.0,6.0,,,,4,nfhN6RZgTk,Bench Dip,IbkcNHmQnl,2017-08-27,fake_id_281
3F7s38SGvr,100.0,10.0,,,,1,51Gr6VBfA7,Lat Pulldown,naC8OgOmh7,2017-09-29,fake_id_280
D0042CDOfC,40.82336184920758,15.0,0.0,0.0,0.0,3,Y7Ol5SC8EJ,Lat Pulldown,wBe9TGzQZD,2019-01-29,fake_id_283
DHDsLv0Eor,33.0,15.0,0.0,0.0,0.0,2,lsuuklGAm1,Lat Pulldown,ys190lG6Cs,2017-12-17,fake_id_291
l40n716Ppz,40.0,8.0,0.0,0.0,0.0,1,ZeOFa0kECH,Lat Pulldown,rciA6kRA3D,2018-03-02,fake_id_285
RV6iPwRj3K,22.67964547178199,10.0,0.0,0.0,0.0,2,rO6mqOdVpm,Lat Pulldown,eMRD7soFe7,2019-06-19,fake_id_286
rMNbJuyaZE,22.67964547178199,10.0,0.0,0.0,0.0,1,gWpp440boc,Lat Pulldown,gQlqvHirKC,2019-03-08,fake_id_286
f26pXIVDib,13.607787283069193,12.0,0.0,0.0,0.0,3,AxB6AYs72V,Lat Pulldown,fjAXDkSbBg,2019-05-15,fake_id_286
kmHJKBXaxH,18.14371637742559,10.0,0.0,0.0,0.0,2,eH7zd78H0Z,Lat Pulldown,3uFzmsTNkj,2019-02-11,fake_id_286
Y6kC4N3MBI,40.82336184920758,6.0,0.0,0.0,0.0,1,CvMpSTJFXE,Lat Pulldown,nkzC3tSg3G,2018-12-25,fake_id_289
4xUbslGzQT,10.0,5.0,,,,2,McoSveNcYA,Dumbbell Front Raise,YGo7tHjFjn,2017-09-07,fake_id_281
6mmcdQcuuy,10.0,5.0,,,,3,YUJJWkMDgP,Dumbbell Front Raise,Cmra6LlPzQ,2017-08-25,fake_id_281
EXOwNuExBs,55.0,10.0,,,,1,IYjAKWTvue,Dumbbell Front Raise,XLeqJNR6mM,2017-07-06,fake_id_280
0g18WQotIM,6.8038936415345965,5.0,0.0,0.0,0.0,2,C2yzG7NXeu,Dumbbell Front Raise,0YI4TvG3Cx,2019-03-14,fake_id_290
yOEyH8lWHM,6.8038936415345965,5.0,0.0,0.0,0.0,1,C2yzG7NXeu,Dumbbell Front Raise,0YI4TvG3Cx,2019-03-14,fake_id_290
qIVbD1HMqF,79.37875915123695,10.0,0.0,0.0,0.0,2,6GH1dkwSjH,Close-Grip Bench Press,KYMrj3HfzD,2019-07-24,fake_id_283
WJrr2sA85E,25.0,10.0,0.0,0.0,0.0,1,VFzBEAUOAX,Close-Grip Bench Press,yUqcYCWXHW,2018-02-11,fake_id_291
apC8B0nd8m,4.535929094356399,15.0,0.0,0.0,0.0,2,4wttnly2mq,Russian Twist,R8lQxBL2r0,2019-02-01,fake_id_286
qWMZJguGB6,4.535929094356399,15.0,0.0,0.0,0.0,1,V9a1p8bESx,Russian Twist,NDl4CFLpPN,2019-02-19,fake_id_286
wcHsTyFIv5,4.535929094356399,21.0,0.0,0.0,0.0,3,8D71YcYMcW,Russian Twist,auwXfJfB7A,2019-04-18,fake_id_290
jfJvuaI8Us,4.535929094356399,18.0,0.0,0.0,0.0,1,P2WHHHZhMD,Russian Twist,smMyGwZ8Nr,2019-02-20,fake_id_290
xtIAZr5Sop,10.0,10.0,,,,4,Y9iSi08x6M,Dumbbell Row,gxBr6Kbexq,2017-09-17,fake_id_281
ZJRKx3O9pF,15.87575183024739,8.0,0.0,0.0,0.0,2,onmYKYrdWB,Dumbbell Row,SOMHlH1kty,2019-05-31,fake_id_284
LPeAU451kp,20.41168092460379,8.0,0.0,0.0,0.0,3,vG3LveVgSy,Dumbbell Row,cB0JbFLbil,2019-08-12,fake_id_299
rx0bleBuSA,12.5,8.0,0.0,0.0,0.0,2,h0uWZYGcTl,Dumbbell Row,HVHEtVSdBT,2018-01-19,fake_id_285
a3D2zLoUac,15.87575183024739,5.0,0.0,0.0,0.0,1,mXct1HcEZV,Dumbbell Row,Cl0qsAyVbD,2019-08-01,fake_id_284
BsZaNFT5Cy,22.67964547178199,15.0,0.0,0.0,0.0,2,iYpCEi7JMX,Dumbbell Row,JFil4BEVVR,2019-03-07,fake_id_283
k3HEdq6HxA,24.94761001896019,8.0,0.0,0.0,0.0,1,VcEd6g5D1V,Dumbbell Row,sqTax1Ckoq,2019-02-19,fake_id_283
bKzzj223z4,25.0,10.0,0.0,0.0,0.0,2,lnmSfT3THK,Skullcrusher,JEi0G1o9Cv,2019-02-02,fake_id_291
MC2UD3XPNU,20.0,8.0,0.0,0.0,0.0,1,rEbjZGO7v3,Skullcrusher,wFZVsedg9P,2018-01-31,fake_id_291
qu6mkd0P5p,27.215574566138386,12.0,0.0,0.0,0.0,2,w4Gqfkof3Z,Lying Hamstrings Curl,Ilsxf4F7FZ,2019-02-07,fake_id_295
9sILe8aIt8,35.0,12.0,0.0,0.0,0.0,1,fDMV3EaREB,Lying Hamstrings Curl,SZ1vwsxcWV,2019-07-16,fake_id_291
7wtSxhieg8,20.41168092460379,10.0,0.0,0.0,0.0,2,CM7SohcbQt,Lying Hamstrings Curl,kysEfZszcF,2019-03-14,fake_id_296
xIcOg8p5RA,38.555397302029384,10.0,0.0,0.0,0.0,4,5hnoucMPu9,Cable Rope Tricep Extension,mqREflrobe,2018-02-18,fake_id_280
cBOvqEaI53,31.75150366049478,6.0,0.0,0.0,0.0,3,G6aNPLYZhQ,Cable Rope Tricep Extension,Dq7GvUPf9C,2019-01-29,fake_id_289
wIFjzbQEPJ,30.0,5.0,0.0,0.0,0.0,2,9U6QyzgAL3,Cable Rope Tricep Extension,NBrvV9lonb,2018-04-11,fake_id_291
u4EOZDx92i,29.483539113316585,10.0,0.0,0.0,0.0,3,vuihtgNwzx,Cable Rope Tricep Extension,EJZ0xBDZa9,2019-04-01,fake_id_284
qYtM6zNud6,75.0,10.0,0.0,0.0,0.0,3,SfDa0aPlQX,Romanian Deadlift,OSiAFtqso5,2019-03-24,fake_id_293
aAHyyVk4yv,9.071858188712797,15.0,0.0,0.0,0.0,1,P2vWXJwW1U,EZ-Bar Curl,iDb9XbSd5H,2019-06-12,fake_id_286
XViEXfe8Tc,6.0,12.0,0.0,0.0,0.0,4,KPgK1pIZYt,Dumbbell Kickbacks,WpAsWfxyGW,2018-03-22,fake_id_291
rlSukF8842,6.0,12.0,0.0,0.0,0.0,2,o2RFMa42t5,Dumbbell Kickbacks,PlKVQaHLCB,2019-03-10,fake_id_287
uTP17iW39q,0.0,25.0,0.0,0.0,0.0,2,eerjPVHDGE,Crunches,wBe9TGzQZD,2019-01-29,fake_id_283
Np8fjC9UlF,0.0,25.0,0.0,0.0,0.0,2,loNnFrH5FD,Crunches,JFil4BEVVR,2019-03-07,fake_id_283
5wAXDBFObw,0.0,25.0,0.0,0.0,0.0,2,bRAeokUS2x,Crunches,aETxSHEpVr,2017-12-23,fake_id_291
tyOG6zUL9u,15.0,8.0,,,,1,oc2Iq543b0,Back Squat,l0hhYDWDTF,2017-07-16,fake_id_281
iOp4IMcpuU,17.5,10.0,,,,2,Giydt3U1lR,Back Squat,b923nIFQHi,2017-10-11,fake_id_281
VGCRkl0HHY,15.0,10.0,,,,3,eD7FIyKKOA,Back Squat,11UXtHTFQT,2017-10-12,fake_id_281
EP4YE6Ewa8,72.5,3.0,0.0,0.0,0.0,3,SpIKargWda,Back Squat,Gg3mFCCfsM,2018-12-12,fake_id_300
w2uISdNN0B,90.0,10.0,0.0,0.0,0.0,2,HtYFx2r3tU,Back Squat,onRLvOYWy0,2019-03-22,fake_id_293
8H0vdyqr7n,67.5,5.0,0.0,0.0,0.0,10,qHt6goVfD1,Back Squat,pm75XqEV0I,2018-12-05,fake_id_300
upZV1GaqQe,22.67964547178199,8.0,0.0,0.0,0.0,1,BUzo0I1nSs,Back Squat,gQU4odFO6h,2019-07-15,fake_id_286
lscA2yfG4F,70.0,5.0,0.0,0.0,0.0,10,HFulHwAtH6,Back Squat,aNm7rSWZPt,2018-11-14,fake_id_300
xb4Vpqi9dd,56.69911367945497,5.0,0.0,0.0,0.0,6,gZHLDfQ4ET,Back Squat,cpqGjlFA6Y,2019-07-13,fake_id_285
v0oBUWUuRt,45.35929094356398,10.0,0.0,0.0,0.0,3,hBVRQpni12,Back Squat,Ilsxf4F7FZ,2019-02-07,fake_id_295
WKGBYzeReX,130.0,5.0,,,,1,4ykKs37D1c,Leg Raise,7Ivm2hcGiM,2017-08-04,fake_id_281
5GzeCAnGKe,113.39822735890993,12.0,0.0,0.0,0.0,2,33gKVYI3Nz,Leg Press,2GgyZPt8YH,2019-04-24,fake_id_295
G2QkxaW5kr,22.67964547178199,8.0,0.0,0.0,0.0,1,adkxlhEm5g,Leg Press,7kBgVtCH5H,2019-03-13,fake_id_285
uzCjCU4wXD,40.82336184920758,8.0,0.0,0.0,0.0,2,ELbd1HEoQ5,Leg Press,t0KPyJNk9b,2018-07-31,fake_id_285
b1A79GJ1Ai,54.43114913227677,8.0,0.0,0.0,0.0,2,DNfmBPrTnY,Cable Row,pxXmO1avTV,2019-06-12,fake_id_299
vcQXGpPdUr,24.94761001896019,15.0,0.0,0.0,0.0,1,GVSoHsSlhw,Cable Row,aCsTFDRmS4,2019-05-20,fake_id_285
gwQQOQf48O,31.75150366049478,8.0,0.0,0.0,0.0,1,ZxYnukICvF,Cable Row,cB0JbFLbil,2019-08-12,fake_id_299
Q4Du56IXtX,31.75150366049478,3.0,0.0,0.0,0.0,3,aQbhBiCmHE,Cable Row,ijksFpW8Al,2019-03-06,fake_id_285
VXv89SbxmD,60.0,5.0,0.0,0.0,0.0,3,sKIDoufr3k,Cable Row,gQAm91xsyp,2019-03-26,fake_id_291
tUdkHHFDmG,10.0,10.0,,,,3,y7vq6L5A96,Dumbbell Tricep Extension,BbdDQoqcoG,2017-09-09,fake_id_281
fUUobR2Lc0,10.0,8.0,,,,2,ewCkPxuAD9,Dumbbell Tricep Extension,Gf6bqhBBdv,2017-09-03,fake_id_281
XJ0NP9Rili,4.535929094356399,15.0,0.0,0.0,0.0,2,24vrunabN1,Dumbbell Tricep Extension,zWSGk9gOpl,2019-03-26,fake_id_286
qciiCcbUbA,4.535929094356399,12.0,0.0,0.0,0.0,2,OQtE7cBCmP,Dumbbell Tricep Extension,2J8TLzeKmw,2019-02-12,fake_id_286
Oiek98qHpf,4.535929094356399,15.0,0.0,0.0,0.0,3,fy5L7YUw5h,Dumbbell Tricep Extension,ZBL5nE2u3H,2019-04-01,fake_id_286
