singleSetId,weight,reps,distance,duration,elevationGain,setNumber,exerciseSetParseId,exerciseName,workoutId,workoutDate,fake_user_id
nqDXnHU9xj,0.0,0.0,5793.638400000002,900.0,0.0,1,waXRvZBWb7,Cycling - Stationary,JA5Kg6mbyx,2019-06-26,fake_id_284
cL2dfiHV6o,0.0,9.0,0.0,0.0,0.0,1,mGWBhu9v16,Lunge,F0KMKriU7E,2018-05-09,fake_id_285
02sPlG4bev,6.8038936415345965,15.0,0.0,0.0,0.0,1,RIF1F7Zalm,Dumbbell Pullover,iDb9XbSd5H,2019-06-12,fake_id_286
EAe3VNrExn,6.0,12.0,0.0,0.0,0.0,2,Bhi8chEoEM,Dumbbell Lateral Raise,F95xJokQdN,2019-03-28,fake_id_287
K3K6mHOgpQ,15.87575183024739,12.0,0.0,0.0,0.0,3,OBaQoEfVs2,Smith Machine Bent Over Row,vKbSp40oF6,2018-07-01,fake_id_285
xZbXGLFhmv,6.8038936415345965,10.0,0.0,0.0,0.0,1,QgVwsn5J9f,Dumbbell Clean,DdNRRiQCiB,2018-10-02,fake_id_288
xYHC2oHT9b,0.0,16.0,0.0,0.0,0.0,1,wNsISB7vRz,Walking Lunge,UjUqA6MEGP,2019-01-30,fake_id_283
7VEePdZakQ,0.0,11.0,0.0,0.0,0.0,1,rDLe6uJNy5,Lunge,qpo2DuOkVI,2019-02-15,fake_id_289
6LM7HVaw2T,4.535929094356399,10.0,0.0,0.0,0.0,1,B9JaKc0uIu,Sit Up,iAVs1251il,2019-01-16,fake_id_290
SGfsKjsUQB,0.0,15.0,0.0,0.0,0.0,2,3a9Ld2Zyfn,Vertical Knee Raise,T5H6ZcaVjh,2018-03-03,fake_id_291
Do2nwFirr1,0.0,10.0,0.0,0.0,0.0,3,tOvUvYAEuy,Decline Leg Raise,62M5T7CyCV,2018-01-19,fake_id_291
dRkNjBsChu,10.0,10.0,0.0,0.0,0.0,2,HUapiuLNCF,Overhead Weighted Sit Up,8vm1Yf71UD,2019-06-01,fake_id_291
SxEMKDXzfa,6.8038936415345965,5.0,0.0,0.0,0.0,1,1mmLT1ixme,Single Arm Dumbbell Tricep Extension,auwXfJfB7A,2019-04-18,fake_id_290
hWhVy3UcWt,9.0,10.0,0.0,0.0,0.0,3,1XCTsbhEHM,Zottman Curl,lpLIql8msO,2018-03-08,fake_id_291
Pm4z70KmDA,16.0,12.0,0.0,0.0,0.0,2,W1J0ImGlHf,Kettlebell Swing,tz5SOgbslh,2018-06-07,fake_id_291
A3nktjytEJ,31.75150366049478,12.0,0.0,0.0,0.0,1,CZDksbZEXk,Seated Back Extension,CFzzWH84VO,2019-01-30,fake_id_286
hRSJLNAMPw,0.0,0.0,0.0,15.0,0.0,1,zLnDfSHv3M,Child's Pose,QYqoNyPPjI,2019-04-12,fake_id_284
6i8oM74Wq4,26.0,10.0,0.0,0.0,0.0,2,d993BaH3DD,Dumbbell Bent Over Row,6HX4KgQ9RC,2019-03-13,fake_id_287
FXr3SUf52D,15.0,24.0,0.0,0.0,0.0,3,uWZDUtzygm,Cable Tricep Extension,crHLBIWXFP,2017-11-29,fake_id_280
